,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Company,Model
1234,Pune,2009,62500,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.1,hyundai,hyundai i10
1235,Mumbai,2015,68000,Petrol,Automatic,2,14.28,1798.0,138.03,5.0,9.75,toyota,toyota corolla
1236,Kolkata,2014,40748,Petrol,Manual,3,14.53,1798.0,138.0,5.0,6.3,toyota,toyota corolla
1237,Hyderabad,2013,60000,Diesel,Automatic,3,17.32,1968.0,184.0,5.0,21.0,audi,audi q3
1238,Mumbai,2014,12400,Diesel,Manual,3,21.9,1396.0,88.8,5.0,4.65,hyundai,hyundai i20
1239,Mumbai,2013,87000,Diesel,Automatic,2,19.27,2143.0,167.62,5.0,17.0,mercedes-benz,mercedes-benz new
1240,Pune,2013,20248,Diesel,Manual,3,21.1,1248.0,73.9,5.0,4.35,maruti,maruti ritz
1241,Coimbatore,2017,52383,Diesel,Manual,3,19.67,1582.0,126.2,5.0,14.82,hyundai,hyundai creta
1243,Chennai,2016,85000,Diesel,Manual,3,14.95,2489.0,93.7,7.0,6.15,mahindra,mahindra xylo
1244,Ahmedabad,2014,47000,Diesel,Manual,3,12.99,2494.0,100.6,7.0,11.25,toyota,toyota innova
1247,Kochi,2017,34613,Diesel,Manual,3,28.4,1248.0,74.0,5.0,6.24,maruti,maruti swift
1248,Chennai,2015,153000,Diesel,Manual,3,20.77,1248.0,88.76,7.0,4.8,maruti,maruti ertiga
1249,Chennai,2014,54000,Petrol,Manual,2,16.1,1197.0,85.0,5.0,4.5,maruti,maruti swift
1250,Kochi,2015,16900,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.87,hyundai,hyundai i10
1251,Delhi,2013,62334,Petrol,Manual,3,20.36,1197.0,78.9,5.0,2.75,hyundai,hyundai i10
1252,Kochi,2018,23714,Petrol,Manual,3,21.4,1197.0,83.1,5.0,6.57,maruti,maruti baleno
1253,Jaipur,2010,52325,Petrol,Manual,3,16.36,1495.0,93.7,5.0,2.0,hyundai,hyundai accent
1254,Ahmedabad,2012,50000,Petrol,Manual,3,19.4,1198.0,86.8,5.0,3.65,honda,honda brio
1255,Hyderabad,2016,55746,Diesel,Manual,3,22.9,1248.0,74.0,5.0,6.95,maruti,maruti swift
1256,Bangalore,2014,54000,Petrol,Manual,3,20.14,1197.0,81.86,5.0,5.5,hyundai,hyundai xcent
1257,Kolkata,2013,43000,Diesel,Manual,3,16.0,2179.0,140.0,7.0,7.0,mahindra,mahindra xuv500
1258,Delhi,2014,40000,Diesel,Automatic,3,13.0,2143.0,201.1,5.0,24.0,mercedes-benz,mercedes-benz e-class
1261,Kochi,2015,46950,Diesel,Manual,3,21.27,1396.0,88.76,5.0,6.45,hyundai,hyundai i20
1262,Mumbai,2015,23000,Diesel,Automatic,3,19.3,1968.0,141.0,5.0,15.75,skoda,skoda octavia
1263,Mumbai,2014,54546,Petrol,Manual,3,17.0,1497.0,118.0,5.0,5.5,honda,honda city
1264,Kochi,2015,51535,Diesel,Automatic,3,12.55,2982.0,168.5,7.0,19.03,toyota,toyota fortuner
1265,Kolkata,2013,45000,Diesel,Automatic,3,17.32,1968.0,184.0,5.0,15.25,audi,audi q3
1266,Hyderabad,2012,46004,Petrol,Manual,3,20.92,998.0,67.1,5.0,2.4,maruti,maruti alto
1267,Chennai,2011,124000,Diesel,Manual,3,23.03,1396.0,69.0,5.0,2.3,tata,tata indigo
1268,Kochi,2014,77395,Diesel,Automatic,3,17.11,1968.0,174.33,5.0,14.35,audi,audi a4
1270,Kochi,2018,22974,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,11.97,honda,honda city
1272,Ahmedabad,2015,65012,Diesel,Manual,3,14.24,2755.0,174.5,7.0,18.9,toyota,toyota fortuner
1273,Ahmedabad,2017,17125,Petrol,Manual,3,18.9,1197.0,82.0,5.0,5.4,hyundai,hyundai grand
1274,Hyderabad,2015,90413,Petrol,Manual,3,15.1,1196.0,73.0,7.0,2.95,maruti,maruti eeco
1275,Bangalore,2013,37000,Petrol,Manual,3,16.47,1198.0,73.9,5.0,5.1,volkswagen,volkswagen polo
1276,Jaipur,2006,65000,Petrol,Manual,3,18.9,1061.0,67.0,5.0,1.5,maruti,maruti wagon
1277,Bangalore,2011,66000,Petrol,Manual,3,17.0,1497.0,118.0,5.0,4.9,honda,honda city
1278,Mumbai,2010,86000,Petrol,Manual,3,14.8,1799.0,130.2,5.0,2.9,honda,honda civic
1279,Pune,2005,98437,Petrol,Manual,3,13.0,1493.0,100.0,5.0,1.15,honda,honda city
1280,Kolkata,2010,18000,Petrol,Manual,3,18.5,1197.0,80.0,5.0,2.3,hyundai,hyundai i20
1281,Kochi,2018,35070,Diesel,Manual,3,24.0,1120.0,70.0,5.0,5.99,hyundai,hyundai grand
1282,Pune,2011,42000,Petrol,Automatic,1,14.4,1598.0,103.6,5.0,3.4,volkswagen,volkswagen vento
1283,Kolkata,2009,40000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,1.7,hyundai,hyundai i10
1284,Kolkata,2009,43000,Petrol,Manual,3,17.0,1197.0,80.0,5.0,1.99,hyundai,hyundai i20
1285,Pune,2012,65000,Petrol,Manual,3,18.6,1199.0,79.4,5.0,2.5,chevrolet,chevrolet beat
1286,Hyderabad,2013,74000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,4.85,volkswagen,volkswagen polo
1287,Hyderabad,2010,51192,Petrol,Manual,3,15.6,1196.0,70.0,5.0,2.65,ford,ford figo
1289,Jaipur,2015,66339,Diesel,Manual,2,25.1,1498.0,98.6,5.0,6.9,honda,honda city
1290,Hyderabad,2013,90200,Diesel,Manual,3,20.0,1399.0,68.05,5.0,3.5,ford,ford figo
1291,Delhi,2015,57854,Diesel,Manual,3,12.99,2494.0,100.6,7.0,12.5,toyota,toyota innova
1292,Delhi,2017,32000,Petrol,Automatic,3,19.12,1373.0,91.1,5.0,9.2,maruti,maruti ciaz
1293,Mumbai,2015,29631,Petrol,Automatic,3,18.9,1197.0,82.0,5.0,4.9,hyundai,hyundai grand
1295,Kochi,2014,54173,Petrol,Manual,3,18.88,999.0,123.24,5.0,5.55,ford,ford ecosport
1296,Ahmedabad,2014,50000,Petrol,Automatic,3,14.7,1798.0,177.6,5.0,13.5,skoda,skoda octavia
1297,Kolkata,2010,145000,Diesel,Manual,3,20.4,1248.0,91.7,5.0,2.6,fiat,fiat linea
1298,Jaipur,2015,78000,Petrol,Manual,3,16.1,1298.0,88.2,5.0,4.5,maruti,maruti swift
1300,Hyderabad,2012,120000,Diesel,Manual,3,12.8,2494.0,102.0,7.0,12.0,toyota,toyota innova
1301,Mumbai,2015,14000,Diesel,Manual,3,28.4,1248.0,74.0,5.0,5.25,maruti,maruti swift
1302,Kochi,2014,57456,Diesel,Automatic,3,17.68,1968.0,174.33,5.0,21.56,audi,audi a6
1303,Coimbatore,2012,44450,Diesel,Automatic,3,22.48,1995.0,190.0,5.0,24.68,bmw,bmw 5
1304,Delhi,2013,63777,Petrol,Manual,3,18.5,1197.0,82.9,5.0,3.67,hyundai,hyundai i20
1306,Delhi,2012,60000,Petrol,Manual,3,17.6,1496.0,88.73,5.0,3.1,toyota,toyota etios
1307,Ahmedabad,2015,78008,Diesel,Manual,3,17.0,1405.0,70.0,5.0,2.9,tata,tata indigo
1310,Hyderabad,2011,57275,Diesel,Manual,3,19.7,1598.0,103.6,5.0,4.5,volkswagen,volkswagen polo
1311,Delhi,2014,45000,Diesel,Manual,3,24.0,1120.0,70.0,5.0,3.49,hyundai,hyundai grand
1312,Delhi,2014,57319,Diesel,Manual,3,25.2,1248.0,74.0,5.0,4.25,maruti,maruti swift
1313,Chennai,2008,121097,Diesel,Manual,2,24.0,1396.0,88.76,5.0,1.9,hyundai,hyundai verna
1314,Mumbai,2011,89000,Diesel,Automatic,3,16.73,1995.0,218.0,5.0,16.57,bmw,bmw 5
1315,Bangalore,2012,72000,Petrol,Manual,3,17.0,1497.0,118.0,5.0,5.75,honda,honda city
1316,Delhi,2013,36000,Diesel,Automatic,2,16.55,1968.0,147.51,5.0,14.0,audi,audi a4
1317,Jaipur,2013,86000,Diesel,Manual,2,19.5,1248.0,75.0,5.0,2.5,fiat,fiat linea
1318,Ahmedabad,2002,85000,Petrol,Manual,3,13.0,1343.0,90.0,5.0,1.2,honda,honda city
1320,Kochi,2013,37613,Diesel,Automatic,3,22.69,1995.0,190.0,5.0,13.95,bmw,bmw 3
1321,Chennai,2007,100000,Petrol,Manual,3,16.6,1388.0,68.0,5.0,1.6,ford,ford fiesta
1323,Mumbai,2018,20000,CNG,Manual,3,15.1,1196.0,73.0,5.0,4.5,maruti,maruti eeco
1325,Coimbatore,2013,59254,Petrol,Manual,2,17.5,1298.0,85.8,5.0,5.29,maruti,maruti swift
1326,Jaipur,2014,60000,Diesel,Manual,3,22.7,1498.0,89.84,5.0,5.75,ford,ford ecosport
1328,Coimbatore,2014,47674,Petrol,Manual,3,19.1,1197.0,85.8,5.0,5.72,maruti,maruti swift
1329,Kochi,2014,61517,Petrol,Automatic,3,16.95,1197.0,78.9,5.0,4.39,hyundai,hyundai i10
1330,Coimbatore,2016,62946,Diesel,Manual,3,15.1,2179.0,140.0,7.0,11.05,mahindra,mahindra xuv500
1331,Delhi,2015,66823,Diesel,Manual,2,22.54,1396.0,88.73,5.0,4.83,hyundai,hyundai i20
1332,Pune,2013,79494,CNG,Manual,3,33.54,998.0,67.04,5.0,2.96,maruti,maruti wagon
1333,Chennai,2012,107000,Diesel,Manual,2,21.27,1396.0,88.76,5.0,4.5,hyundai,hyundai i20
1335,Mumbai,2017,24000,Petrol,Automatic,3,14.3,1598.0,103.52,5.0,8.75,skoda,skoda rapid
1337,Kochi,2016,54317,Petrol,Manual,3,17.4,1497.0,117.3,5.0,8.4,honda,honda city
1338,Mumbai,2016,10200,Petrol,Manual,3,19.1,1197.0,82.0,5.0,4.99,hyundai,hyundai xcent
1339,Coimbatore,2016,24337,Diesel,Manual,3,26.0,1498.0,98.6,5.0,8.18,honda,honda city
1340,Pune,2012,79000,Petrol,Manual,3,18.4,1198.0,86.8,5.0,2.9,honda,honda brio
1341,Jaipur,2015,40500,Diesel,Manual,3,28.09,1248.0,88.5,5.0,7.1,maruti,maruti ciaz
1342,Pune,2016,23000,Diesel,Manual,3,26.59,1248.0,74.0,5.0,7.05,maruti,maruti swift
1343,Pune,2015,63050,Petrol,Automatic,3,11.1,2354.0,158.8,5.0,17.5,honda,honda cr-v
1344,Mumbai,2008,78000,Petrol,Automatic,2,14.53,1794.0,138.1,5.0,3.41,toyota,toyota corolla
1346,Coimbatore,2012,66245,Petrol,Manual,3,17.0,1497.0,118.0,5.0,5.68,honda,honda city
1348,Delhi,2011,87670,Petrol,Manual,3,13.4,1798.0,157.8,5.0,4.0,skoda,skoda laura
1350,Chennai,2007,62493,Petrol,Manual,3,15.0,1586.0,104.68,5.0,1.8,maruti,maruti sx4
1351,Kochi,2015,44620,Petrol,Manual,3,20.73,1373.0,91.1,5.0,6.93,maruti,maruti ciaz
1353,Ahmedabad,2013,60000,Diesel,Manual,3,12.99,2494.0,100.0,7.0,7.9,toyota,toyota innova
1355,Chennai,2014,110000,Diesel,Automatic,3,13.01,2199.0,194.3,7.0,14.4,hyundai,hyundai santa
1356,Mumbai,2011,45000,Petrol,Automatic,2,11.74,1796.0,186.0,5.0,13.5,mercedes-benz,mercedes-benz new
1357,Mumbai,2014,40000,CNG,Manual,2,26.6,998.0,58.16,5.0,3.15,maruti,maruti wagon
1358,Coimbatore,2012,49008,Petrol,Manual,3,19.7,796.0,46.3,5.0,2.88,maruti,maruti alto
1359,Kolkata,2016,31000,Petrol,Manual,3,24.7,796.0,47.3,5.0,2.15,maruti,maruti alto
1360,Pune,2013,8000,Petrol,Manual,3,16.95,1498.0,97.7,5.0,3.75,nissan,nissan sunny
1361,Mumbai,2019,171,Petrol,Manual,3,24.7,796.0,47.3,5.0,3.6,maruti,maruti alto
1362,Kolkata,2018,2100,Petrol,Manual,3,24.07,998.0,67.1,5.0,3.6,maruti,maruti alto
1363,Coimbatore,2018,20667,Petrol,Automatic,3,18.9,1197.0,81.86,5.0,7.55,hyundai,hyundai grand
1364,Kolkata,2015,50000,Diesel,Manual,3,24.2,1498.0,98.6,7.0,4.7,honda,honda mobilio
1365,Jaipur,2010,100030,Diesel,Manual,2,18.8,1248.0,90.0,5.0,1.6,tata,tata manza
1366,Pune,2011,75372,Diesel,Manual,3,16.52,1991.0,123.7,5.0,3.34,chevrolet,chevrolet optra
1367,Kochi,2016,60475,Petrol,Automatic,3,18.0,1497.0,117.3,5.0,9.1,honda,honda city
1368,Kochi,2019,18453,Petrol,Manual,3,18.9,1197.0,81.86,5.0,6.17,hyundai,hyundai grand
1369,Hyderabad,2008,96578,Diesel,Manual,3,22.0,1582.0,126.2,5.0,2.5,hyundai,hyundai verna
1370,Kolkata,2016,31001,Petrol,Manual,3,18.44,1198.0,75.0,5.0,3.0,nissan,nissan micra
1371,Jaipur,2012,65900,Diesel,Manual,3,22.32,1582.0,126.32,5.0,5.75,hyundai,hyundai verna
1372,Bangalore,2017,26246,Petrol,Manual,3,15.29,1591.0,121.3,5.0,10.75,hyundai,hyundai creta
1373,Jaipur,2013,62700,Petrol,Manual,2,20.51,998.0,67.04,5.0,2.85,maruti,maruti wagon
1374,Chennai,2008,90000,Petrol,Automatic,3,10.2,2354.0,180.0,5.0,6.5,honda,honda accord
1375,Bangalore,2016,36000,Petrol,Automatic,3,16.8,1497.0,118.0,5.0,9.45,honda,honda city
1376,Delhi,2016,46000,Diesel,Manual,3,27.39,1248.0,74.0,5.0,6.75,maruti,maruti baleno
1377,Coimbatore,2017,73003,Diesel,Manual,3,26.0,1498.0,98.6,5.0,7.75,honda,honda city
1378,Kochi,2014,46566,Diesel,Manual,3,22.54,1396.0,88.76,5.0,4.4,hyundai,hyundai i20
1380,Kochi,2014,103788,Diesel,Manual,3,19.01,1461.0,108.5,5.0,5.67,nissan,nissan terrano
1381,Bangalore,2016,45000,Diesel,Automatic,3,19.6,1461.0,108.45,5.0,11.5,renault,renault duster
1382,Pune,2009,120000,Petrol,Manual,3,18.9,998.0,67.1,5.0,1.69,maruti,maruti wagon
1383,Jaipur,2009,97359,Diesel,Manual,2,17.1,1493.0,110.0,5.0,1.8,hyundai,hyundai getz
1384,Mumbai,2016,62000,Petrol,Manual,3,18.5,1197.0,85.8,5.0,3.2,maruti,maruti ritz
1387,Hyderabad,2016,60453,Petrol,Manual,3,16.47,1198.0,74.0,5.0,5.1,volkswagen,volkswagen polo
1389,Mumbai,2010,69009,Petrol,Manual,2,15.6,1196.0,70.0,5.0,2.4,ford,ford figo
1390,Hyderabad,2013,30000,Diesel,Automatic,3,18.88,1995.0,184.0,5.0,22.0,bmw,bmw 3
1391,Delhi,2012,70707,Diesel,Manual,3,22.32,1582.0,126.32,5.0,4.28,hyundai,hyundai verna
1392,Coimbatore,2015,64677,Diesel,Manual,3,20.45,1461.0,83.8,5.0,5.67,renault,renault duster
1393,Bangalore,2018,3000,Petrol,Automatic,3,18.9,1197.0,81.86,5.0,6.2,hyundai,hyundai grand
1394,Bangalore,2013,49000,Diesel,Automatic,2,17.05,1995.0,184.0,5.0,14.49,bmw,bmw x1
1395,Pune,2010,71000,Diesel,Manual,3,21.1,1248.0,73.9,5.0,3.0,maruti,maruti ritz
1396,Jaipur,2010,52000,Petrol,Manual,2,19.81,1086.0,68.05,5.0,2.25,hyundai,hyundai i10
1398,Kochi,2019,5377,Petrol,Manual,3,16.8,1497.0,116.3,5.0,11.45,honda,honda city
1399,Delhi,2014,65000,Diesel,Automatic,3,11.18,2696.0,184.0,7.0,10.5,mahindra,mahindra ssangyong
1400,Coimbatore,2015,92708,Diesel,Manual,3,22.7,1498.0,89.84,5.0,7.48,ford,ford ecosport
1401,Coimbatore,2010,48105,Petrol,Manual,3,19.7,796.0,46.3,5.0,3.1,maruti,maruti alto
1402,Mumbai,2011,46759,Petrol,Manual,3,16.47,1198.0,74.0,5.0,2.55,volkswagen,volkswagen polo
1403,Jaipur,2013,62000,Diesel,Manual,3,22.07,1199.0,73.9,5.0,3.5,volkswagen,volkswagen polo
1404,Kolkata,2012,35175,Diesel,Manual,3,22.07,1199.0,73.9,5.0,2.59,volkswagen,volkswagen polo
1405,Kolkata,2013,70000,Diesel,Manual,3,20.77,1248.0,88.8,7.0,5.45,maruti,maruti ertiga
1406,Kolkata,2017,30000,Diesel,Manual,3,22.77,1498.0,98.59,5.0,6.0,ford,ford ecosport
1407,Kolkata,2016,66618,Diesel,Automatic,3,11.36,2755.0,171.5,7.0,15.49,toyota,toyota innova
1408,Mumbai,2010,69300,Petrol,Automatic,2,10.8,2497.0,150.0,5.0,12.5,bmw,bmw 5
1409,Kolkata,2017,148000,Diesel,Manual,3,23.4,1248.0,74.0,5.0,4.75,maruti,maruti swift
1410,Mumbai,2017,22000,Petrol,Manual,3,18.88,999.0,123.24,5.0,7.85,ford,ford ecosport
1411,Ahmedabad,2013,75000,Diesel,Manual,3,16.8,1493.0,110.0,5.0,6.0,hyundai,hyundai verna
1412,Mumbai,2016,43706,Petrol,Manual,3,17.57,1193.0,88.7,5.0,4.0,tata,tata zest
1414,Pune,2012,65000,Diesel,Manual,3,22.3,1248.0,74.0,5.0,2.5,tata,tata indica
1415,Delhi,2015,76128,Diesel,Manual,3,26.59,1248.0,74.0,5.0,5.5,maruti,maruti swift
1416,Kolkata,2010,39852,Petrol,Manual,3,16.0,1368.0,90.0,5.0,1.59,fiat,fiat linea
1417,Mumbai,2017,18673,Petrol,Manual,3,18.6,1197.0,81.83,5.0,6.22,hyundai,hyundai i20
1418,Kolkata,2016,11583,Petrol,Manual,3,21.1,814.0,55.2,5.0,2.75,hyundai,hyundai eon
1420,Pune,2017,50000,Diesel,Automatic,3,17.9,2143.0,136.0,5.0,25.0,mercedes-benz,mercedes-benz gla
1421,Delhi,2014,77000,Petrol,Manual,3,23.1,998.0,67.04,5.0,2.8,maruti,maruti celerio
1422,Mumbai,2014,54890,Petrol,Manual,2,17.8,1199.0,76.8,5.0,2.45,chevrolet,chevrolet beat
1423,Pune,2016,21000,Petrol,Automatic,3,19.0,1199.0,88.7,5.0,6.35,honda,honda jazz
1424,Mumbai,2009,58557,Diesel,Automatic,1,16.07,1995.0,181.0,5.0,8.0,bmw,bmw 3
1425,Bangalore,2014,70000,Diesel,Manual,3,19.01,1461.0,108.45,5.0,8.25,renault,renault duster
1426,Mumbai,2017,16000,Petrol,Automatic,3,17.01,1499.0,110.4,5.0,5.95,ford,ford figo
1427,Kochi,2018,8899,Diesel,Manual,3,13.68,2393.0,147.8,7.0,19.92,toyota,toyota innova
1428,Kochi,2016,83629,Diesel,Manual,3,25.44,936.0,56.3,5.0,3.15,chevrolet,chevrolet beat
1431,Kochi,2016,44875,Diesel,Automatic,2,22.32,1582.0,126.32,5.0,8.01,hyundai,hyundai verna
1432,Coimbatore,2017,25095,Petrol,Manual,3,18.16,1196.0,86.8,5.0,6.48,ford,ford figo
1434,Kolkata,2014,36000,Diesel,Manual,3,26.0,1498.0,98.6,5.0,5.0,honda,honda city
1435,Mumbai,2012,37000,Diesel,Manual,3,16.0,2179.0,140.0,7.0,7.75,mahindra,mahindra xuv500
1436,Chennai,2010,90000,Diesel,Manual,3,20.0,1399.0,68.0,5.0,2.6,ford,ford figo
1437,Pune,2018,17000,Petrol,Manual,3,17.0,1497.0,121.36,5.0,9.2,ford,ford ecosport
1438,Mumbai,2015,42575,Petrol,Manual,3,18.6,1197.0,81.83,5.0,5.05,hyundai,hyundai i20
1439,Hyderabad,2012,131000,Diesel,Manual,3,12.99,2494.0,100.0,7.0,9.6,toyota,toyota innova
1440,Mumbai,2013,74000,Diesel,Manual,3,20.46,1461.0,83.8,5.0,5.5,renault,renault duster
1441,Mumbai,2013,47234,Diesel,Manual,3,12.99,2494.0,100.6,8.0,9.35,toyota,toyota innova
1443,Hyderabad,2016,10000,Petrol,Manual,3,24.07,998.0,67.1,5.0,3.5,maruti,maruti alto
1444,Kochi,2016,49389,Petrol,Manual,3,19.49,1198.0,67.04,5.0,4.26,nissan,nissan micra
1445,Chennai,2016,12000,Petrol,Automatic,2,23.1,998.0,67.04,5.0,4.25,maruti,maruti celerio
1446,Hyderabad,2010,65000,Petrol,Manual,2,11.7,1796.0,178.0,5.0,11.75,mercedes-benz,mercedes-benz new
1448,Jaipur,2015,89000,Petrol,Manual,3,17.01,1591.0,121.3,5.0,7.5,hyundai,hyundai verna
1449,Chennai,2009,72000,Petrol,Automatic,1,15.0,1396.0,100.0,5.0,3.25,hyundai,hyundai i20
1450,Chennai,2012,49000,Petrol,Manual,3,17.5,1298.0,85.8,5.0,4.9,maruti,maruti swift
1452,Kochi,2017,13460,Petrol,Manual,3,18.6,1197.0,81.86,5.0,8.91,hyundai,hyundai elite
1453,Kochi,2014,35642,Petrol,Automatic,3,17.01,1591.0,121.4,5.0,6.69,hyundai,hyundai verna
1454,Kochi,2014,52895,Diesel,Manual,3,17.3,1998.0,163.7,5.0,6.02,chevrolet,chevrolet cruze
1455,Mumbai,2010,93000,Petrol,Manual,3,14.28,1798.0,138.03,5.0,4.5,toyota,toyota corolla
1456,Pune,2011,70000,Petrol,Manual,3,19.0,998.0,66.1,5.0,2.0,maruti,maruti a-star
1457,Kolkata,2012,32048,Diesel,Manual,3,23.08,1461.0,63.1,5.0,2.4,nissan,nissan micra
1459,Delhi,2014,71800,Diesel,Manual,3,23.4,1248.0,74.0,5.0,2.9,maruti,maruti swift
1462,Chennai,2016,15388,Diesel,Manual,3,25.8,1498.0,98.6,5.0,7.5,honda,honda amaze
1463,Mumbai,2004,98798,Petrol,Manual,3,14.7,1599.0,104.0,5.0,1.5,chevrolet,chevrolet optra
1465,Hyderabad,2012,85112,Diesel,Manual,3,23.2,1248.0,73.94,5.0,3.39,maruti,maruti ritz
1466,Kochi,2018,37804,Diesel,Manual,3,15.4,2179.0,120.0,7.0,12.4,mahindra,mahindra scorpio
1467,Chennai,2014,45000,Diesel,Manual,3,28.09,1248.0,88.5,5.0,6.85,maruti,maruti ciaz
1468,Pune,2011,116000,Diesel,Manual,2,21.43,1364.0,138.0,5.0,5.75,toyota,toyota corolla
1469,Chennai,2015,100073,Diesel,Manual,2,25.0,1396.0,69.0,5.0,2.0,tata,tata indica
1471,Kolkata,2015,22000,Petrol,Manual,3,16.47,1198.0,74.0,5.0,3.8,volkswagen,volkswagen polo
1472,Delhi,2017,9500,Petrol,Automatic,3,14.62,1999.0,149.92,5.0,16.35,hyundai,hyundai elantra
1473,Hyderabad,2012,152000,Diesel,Automatic,3,11.5,2982.0,169.0,7.0,16.5,toyota,toyota fortuner
1474,Coimbatore,2019,17705,Petrol,Manual,3,21.4,1197.0,83.1,5.0,8.7,maruti,maruti baleno
1475,Mumbai,2016,12000,Petrol,Manual,3,21.4,1197.0,83.1,5.0,6.1,maruti,maruti baleno
1478,Delhi,2015,51000,Petrol,Manual,3,20.92,998.0,67.1,5.0,2.65,maruti,maruti alto
1479,Kochi,2017,42527,Petrol,Manual,3,20.4,1197.0,81.8,5.0,5.27,maruti,maruti swift
1481,Kolkata,2011,70000,Diesel,Manual,3,12.8,2494.0,102.0,8.0,6.0,toyota,toyota innova
1482,Mumbai,2009,92000,Diesel,Manual,3,11.5,2982.0,171.0,7.0,8.9,toyota,toyota fortuner
1483,Hyderabad,2012,57156,Diesel,Automatic,2,18.88,1995.0,184.0,5.0,18.0,bmw,bmw 3
1484,Coimbatore,2016,53211,Petrol,Manual,3,16.8,1395.0,138.02,5.0,11.64,skoda,skoda octavia
1485,Kolkata,2019,80000,Diesel,Manual,3,11.5,2982.0,171.0,7.0,8.99,toyota,toyota fortuner
1486,Bangalore,2009,74000,Diesel,Automatic,3,15.5,1896.0,105.0,5.0,5.25,volkswagen,volkswagen jetta
1487,Kolkata,2011,37000,Diesel,Manual,3,23.0,1396.0,90.0,5.0,2.95,hyundai,hyundai i20
1488,Mumbai,2013,64000,Diesel,Manual,2,21.02,1248.0,88.76,5.0,2.65,tata,tata manza
1489,Pune,2013,57197,Petrol,Manual,3,15.04,1598.0,103.6,5.0,4.0,volkswagen,volkswagen vento
1490,Chennai,2016,55000,Diesel,Automatic,3,17.6,1582.0,126.2,5.0,12.5,hyundai,hyundai creta
1491,Mumbai,2014,33000,Petrol,Manual,3,21.1,1197.0,85.8,5.0,3.25,maruti,maruti ritz
1492,Delhi,2008,70000,Petrol,Manual,3,13.1,1997.0,141.1,5.0,4.0,honda,honda cr-v
1493,Delhi,2012,75000,Diesel,Manual,2,15.1,2179.0,140.0,7.0,6.25,mahindra,mahindra xuv500
1494,Jaipur,2016,58095,Diesel,Manual,3,21.66,1498.0,108.62,5.0,5.8,volkswagen,volkswagen ameo
1495,Kolkata,2015,7445,Petrol,Manual,3,17.57,1193.0,88.7,5.0,5.0,tata,tata zest
1497,Kochi,2018,28321,Petrol,Automatic,3,14.28,1798.0,138.03,5.0,17.49,toyota,toyota corolla
1498,Pune,2011,69000,Petrol,Manual,2,19.0,998.0,66.1,5.0,1.95,maruti,maruti a-star
1499,Mumbai,2007,80000,Petrol,Automatic,3,11.1,2354.0,142.0,5.0,3.0,honda,honda accord
1500,Delhi,2014,42365,Petrol,Manual,3,17.0,1197.0,80.0,5.0,5.5,hyundai,hyundai i20
1501,Delhi,2013,123000,Diesel,Automatic,3,12.55,2982.0,168.5,7.0,16.5,toyota,toyota fortuner
1502,Mumbai,2011,40000,Petrol,Automatic,2,11.74,1796.0,186.0,5.0,14.5,mercedes-benz,mercedes-benz new
1503,Hyderabad,2016,30112,Diesel,Manual,3,27.39,1248.0,74.0,5.0,7.79,maruti,maruti baleno
1504,Kochi,2017,43775,Diesel,Manual,3,20.77,1248.0,88.76,7.0,8.27,maruti,maruti ertiga
1506,Mumbai,2012,56000,Petrol,Manual,3,12.9,1598.0,102.5,5.0,2.15,chevrolet,chevrolet optra
1507,Hyderabad,2008,95000,Petrol,Automatic,2,12.9,1799.0,130.0,5.0,3.0,honda,honda civic
1509,Mumbai,2011,41988,Diesel,Automatic,3,20.0,1968.0,138.1,5.0,5.45,skoda,skoda laura
1510,Delhi,2013,72486,Diesel,Manual,3,23.4,1248.0,74.0,5.0,3.95,maruti,maruti swift
1512,Delhi,2013,40000,Petrol,Manual,3,17.5,1298.0,85.8,5.0,4.25,maruti,maruti swift
1514,Mumbai,2008,125000,Petrol,Automatic,1,11.7,2354.0,177.6,5.0,2.6,honda,honda accord
1515,Kochi,2017,29219,Diesel,Manual,3,12.99,2494.0,100.6,8.0,13.48,toyota,toyota innova
1517,Kochi,2018,38593,Petrol,Manual,3,18.7,1199.0,88.7,5.0,6.17,honda,honda jazz
1518,Kolkata,2015,32000,Petrol,Manual,3,17.0,1497.0,118.0,5.0,5.5,honda,honda city
1519,Hyderabad,2017,28226,Diesel,Automatic,3,28.4,1248.0,73.75,5.0,9.15,maruti,maruti dzire
1520,Pune,2014,95000,Diesel,Manual,3,21.64,1461.0,84.8,5.0,4.5,nissan,nissan sunny
1522,Coimbatore,2016,14821,Petrol,Manual,3,19.4,1198.0,86.8,5.0,5.37,honda,honda brio
1523,Bangalore,2012,52000,Petrol,Manual,3,15.04,1598.0,103.6,5.0,5.45,volkswagen,volkswagen vento
1524,Mumbai,2016,33000,Diesel,Manual,3,16.0,2179.0,140.0,7.0,9.25,mahindra,mahindra xuv500
1525,Chennai,2016,29200,Diesel,Manual,3,23.0,1498.0,98.96,5.0,7.7,ford,ford ecosport
1527,Chennai,2012,49000,Petrol,Manual,3,20.36,1197.0,78.9,5.0,3.0,hyundai,hyundai i10
